DATE,Nifty Index,Nifty500 Index,Auto OEMs Index,Private Banks Index,Pharma Index,FMCG Index,Capital Goods Index,IT Services Index,Railways Index,Real Estate Index,PSU Banks Index,Renewable Energy Index,Telecom Index,Cement Index,Diagnostics Index,Consumer Durables Index,Defence Index,Insurance Index,Logistics Index,Aviation Index,Textiles Index,Specialty Chemicals Index,NBFCs Index,Paints Index,QSR Index,Pipes & Fittings Index,Tyres Index,Hospitals Index,Midcap IT Index,Fintech Index,Internet & Platforms Index,Media & Entertainment Index,Beverages Index,Green Energy Index,Construction Index,Agrochemicals Index,Jewellery Index,Sugar Index,Rail Infra Index,Air Conditioning Index,Semiconductors Index,Education Tech Index,Amusement Park Index,Animal Feed Index,Animal Health Index,Aquaculture Index
2024-02-02,100.51467443047754,102.26662215259765,106.61395462869139,94.49716291054487,106.52739423486659,98.03427100014491,105.55142836913214,104.68993344481721,131.47419336893745,108.59625107174239,122.00307488405856,123.90256068969926,101.05823901892546,100.97751493310243,97.57588840790514,113.39192565953229,103.7244259727789,102.47645112844523,100.98283091251321,105.1163310791501,108.03631773746349,92.53302474170015,103.50479879425437,98.35427957868417,95.98784513961931,97.9647770678651,109.88185210696079,107.13234439299593,102.40226523503608,101.81401795956431,99.09082835918215,98.17759197543651,99.18261323850223,126.90928341322169,115.67449859873335,97.25338911204555,104.49758251058249,99.11985535410086,137.09910987684287,109.98926171944497,94.64511457831269,118.06208319757482,113.54790372408995,104.95848051643884,111.27511571559346,119.3453708011406
2024-02-05,104.16844893960509,108.29040293792855,107.47056170406857,94.10421978778106,107.86068070179287,97.19403478930488,105.18218557568477,103.94931014504493,128.21993130592173,109.07491577296298,124.61198085044403,127.55264834330148,100.34677895812447,99.13837012202156,96.16896514731509,113.40440081831554,102.76167232898884,104.58945592814642,100.8001650845007,106.21061747981504,106.26443541041236,90.48495775726028,102.64851188725184,99.32727692326004,93.76769526750657,97.37778109718953,109.07992291344888,108.11613840500847,102.2686413054177,102.86251677116128,97.40363818530874,97.97902559120675,97.5595008501803,129.69803452667577,115.98150159092289,94.70093321629781,103.64858812515398,102.35912153067632,133.53546519558373,108.68698551603232,94.47199086194503,105.48976123031996,114.89742640330685,104.48379914320185,108.91766530231996,115.29064240472643
2024-02-07,110.95557425983928,116.47859472508281,108.93621344967825,93.88896786221108,109.49905794892803,97.45114128404073,107.2848146381589,105.45524858815631,130.10191381662398,112.02542347210468,133.39780420768935,131.06256247680568,103.47636761367167,100.78517869794193,99.04496090977969,114.25293704168368,103.46803955823893,108.71178469581272,99.06802549259874,107.47101958502633,108.49683976190977,90.91231731067782,106.12556635779544,99.57881340930173,93.17798614881609,96.47761056692065,109.55889044228134,109.73506994153911,103.70246785875959,104.28024406313229,100.44690326907437,102.603213007393,98.28223453231269,133.27933078267608,117.55774304944231,94.55641839679694,103.87088660921644,104.31237623021319,135.44977353256158,110.11764603406553,97.88017826134444,107.03871752638827,126.43670131201638,105.36905881483658,111.95356360941929,115.4583058856377
2024-02-08,113.68693628431737,119.4660879837695,108.21100167015943,92.03082299422451,108.99591696788198,95.31357178452205,107.13941737843734,105.52773793190958,129.17442504463105,110.87533936615444,131.96505627156438,131.25628250418475,103.25917812982011,99.6961276750717,97.13335575115907,112.62781975662693,106.38231721738313,111.61457409280176,98.11990414798693,108.70452289785472,107.25328547996436,89.6067677215133,103.79035820061384,98.31011778040978,92.70781307691003,95.5745223718453,108.9130754720683,109.54648426577812,103.26708313455839,101.25423716853015,100.7307449873805,107.67406808251884,99.12646402574813,132.2754398810209,117.42317987013507,94.04337776258966,104.21522278209265,102.67825076511205,134.79314879564478,108.79218351605084,102.62108643897986,118.24867083983023,122.06073186099793,105.8349854953104,110.87679653164173,113.33674686097919
2024-02-09,116.26720755775715,122.04062764837309,108.27742631020703,92.41036260220093,108.46400016531484,95.7797642779868,107.45878850537522,105.35904500029051,123.72443839002582,110.25646067989248,130.17289893505443,126.08172726341228,100.76648068659833,100.91298431814116,96.44735728467688,111.86001909403679,103.12778314330629,108.99665386860508,97.19961672548594,106.07848755950589,105.81309203908542,89.72387064553455,103.54980539436305,98.65631447289498,92.60733019742405,94.75566972308714,106.38097357202663,110.2321806251635,102.70099092601006,99.66513407301008,99.14620218770578,107.02353036451821,101.12403018805612,130.53813694647047,115.47728666027466,93.6081823251873,103.51791110416099,101.2816043321699,129.91827280807942,108.16963669112211,107.69859098585104,118.05210897143158,120.27763447226411,104.69807158804133,109.96110364826696,112.43006403382338
2024-02-12,111.65560507591333,117.29037725673489,107.18116314599807,90.2690097708241,108.53454296695628,95.27130142652369,105.39420849424599,106.11114071459806,111.42736916559343,107.71177700186828,121.51088384574666,115.24979595765797,94.76025477593778,99.39935792334023,95.45772527237217,109.48103982497038,97.45810707909068,102.954956976273,94.80916966151412,101.84090355775538,102.76913912404396,88.63444900340566,100.90893289061425,97.29846705936704,90.61960905491223,92.6129585427252,105.60168988562863,110.04944973513683,101.93826209088644,98.49619005459806,98.21083139025394,102.06392443825825,98.6144679085933,124.26863555934669,109.35267571541745,91.23354477290732,100.76785188218284,98.22449844249653,116.51589828995259,104.97734279873917,104.906316257969,115.54448981193585,114.27537258088337,100.71411738565357,105.38113148607931,103.89938531247509
2024-03-01,98.96720157851888,99.4743059657413,111.59898916962227,93.74121752588619,110.99228171165745,96.91267807963636,114.27001306359834,104.37750862786883,122.37844895980083,113.51770110282591,128.03435777525175,119.67655903658267,101.75520016995301,99.73353320775993,97.00655612506637,112.43562588848026,107.17549410103325,108.09691554561628,97.83004604945899,106.674849030428,108.5733784971034,89.43305362891441,104.06776905062678,92.43210227914834,89.95499812751144,95.71061158128869,108.47368064190549,102.23370164704663,100.71365572437377,102.59121091882766,100.67740645142578,102.0237081881445,100.91925903195633,133.36602722371703,121.90114479073597,94.5272128313475,103.47096160942552,96.27469137453947,128.43636822849956,109.90471079574097,132.20472309496404,107.4067170712746,123.77575564889545,101.13226850351234,104.3651221968742,105.25205649082133
2024-03-04,103.18624407250516,105.83579444772593,112.5257640425928,94.17256106474909,112.01416718616917,96.72115007773078,117.20815890166371,104.04807458145726,121.4431700424041,114.3405657709066,128.13524127323745,119.3766246055918,102.30818963813954,99.43852006883648,95.34349282723534,113.55271388698365,108.99614504133771,110.01654557521292,97.92864321106859,106.35250219845234,107.17906601965706,88.86153932479318,104.51859213375697,93.91919826529151,90.09488440403543,95.38523246510015,108.86529152732562,100.83818303973874,100.53720942446222,101.47030471106422,100.10288220559012,98.68760510997826,100.64637402350917,131.50809952194538,123.66189205776863,94.3042203276171,105.11927577736608,100.3233457872784,126.80590205647175,111.76365244835756,136.27755452010462,107.70219810404326,123.21778917106852,99.5668664959559,103.65581236758312,104.8947096886416
2024-03-05,103.3757399307328,107.65325252317727,114.03995923209452,94.01298760372234,111.9905502697544,96.01266637178944,116.38134070311582,102.14720742047186,121.29780770465133,113.87283722297852,133.6975701854109,118.6985618178363,101.55339367526807,97.73287222532565,94.78976588875697,112.5066500043079,107.57015535475719,109.07208419153034,96.518948667042,105.91761247216982,106.63351781993954,89.57064714438846,104.24522973879309,93.57613425157639,90.62452964395398,95.08692244713215,108.9037652368032,98.81568179311343,98.94256099724214,97.37766489544016,98.29818281073766,96.32794949564439,98.89596653867798,129.2259095438089,123.40412276638305,93.984500647903,104.20419188561193,99.61334775607064,126.60612123515955,110.16808815477086,136.96980920005154,107.33161022181625,123.89116672385487,99.7531181807267,102.42450833072057,103.87642184062366
2024-03-06,107.00030816074033,111.95665014509875,114.48272943489395,94.37490824666932,112.01181028806506,95.79771795564199,115.01984197798194,102.85911127584548,117.9622187194966,111.75564541067008,132.28021107645947,116.65593171691394,99.02711753497515,95.8838166257865,93.48735534680279,110.80565846001508,106.13035094506051,108.54306911047898,95.54896865403855,102.780410129085,104.51396773700789,88.48048249748766,101.71342842799976,92.33336129399713,89.52892435949558,94.402470213424,107.59793384861344,98.74891504946311,99.4182662648746,94.18458814816378,96.98148356655489,93.10122141461864,97.85371761268559,126.2957350206408,119.6451783631022,92.20771012454276,102.75691542625549,97.36848903353899,122.83482082466087,108.18197241591675,138.3641954052779,114.74877355541697,121.17624112378057,98.51488142553737,98.92423455270755,102.40379095334568
